음식 이름,칼로리,카테고리
양념왕갈비,485.5065,단일음식
햄버거스테이크,436.752,단일음식
훈제오리,789.9625,단일음식
치킨데리야끼,692.5248,단일음식
치킨윙,219.419,단일음식
더덕구이,183.74,단일음식
양배추구이,60.933,채소
두부구이,90.671,채소
삼치구이,355.7061,단일음식
가자미전,220.464,단일음식
굴전,192.81,단일음식
동태전,265.2507,단일음식
해물파전,267.2312,단일음식
동그랑땡,312.4125,단일음식
햄부침,232.598,단일음식
육전,197.098,육류
감자전,366.1585,채소
고추전,261.4425,단일음식
김치전,285.728,단일음식
깻잎전,357.6225,단일음식
녹두빈대떡,200.71,후식
미나리전,215.8635,채소
배추전,241.008,채소
버섯전,239.6835,채소
부추전,241.182,단일음식
야채전,194.94,채소
파전,280.548,단일음식
호박부침개,130.722,채소
호박전,215.283,채소
달걀말이,172.238,단일음식
두부부침,134.88,채소
두부전,253.89,채소
건새우볶음,69.1858,단일음식
낙지볶음,180.59,단일음식
멸치볶음,69.225,단일음식
어묵볶음,281.5425,단일음식
오징어볶음,243.696,단일음식
오징어채볶음,55.7136,단일음식
주꾸미볶음,211.81,단일음식
해물볶음,420.527,단일음식
감자볶음,57.803,채소
김치볶음,189.97,단일음식
깻잎나물볶음,212.392,채소
느타리버섯볶음,133.3185,채소
두부김치,292.42,채소
머위나물볶음,102.993,채소
양송이버섯볶음,132.4215,채소
표고버섯볶음,143.595,채소
고추잡채,264.218,단일음식
호박볶음,29.185,채소
돼지고기볶음,353.132,육류
돼지껍데기볶음,346.1445,육류
소세지볶음,476.04029,육류
순대볶음,579.5559,단일음식
오리불고기,559.93155,육류
오삼불고기,356.936,육류
떡볶이,300.76,후식
라볶이,266.03,단일음식
마파두부,226.9151,채소
가자미조림,301.29,단일음식
갈치조림,99.385,단일음식
고등어조림,459.335,단일음식
꽁치조림,280.0882,단일음식
동태조림,270.6125,단일음식
북어조림,184.581,단일음식
조기조림,378.2615,단일음식
코다리조림,146.67,단일음식
달걀장조림,133.725,단일음식
메추리알장조림,205.08,단일음식
돼지고기메추리알장조림,62.969,육류
소고기메추리알장조림,61.215,육류
고추조림,105.878,단일음식
감자조림,39.013,채소
우엉조림,68.496,채소
알감자조림,56.226,채소
(검은)콩조림,56.832,단일음식
콩조림,59.222,단일음식
두부고추장조림,67.1415,채소
땅콩조림,80.4188,단일음식
미꾸라지튀김,382.13,단일음식
새우튀김,311.256,단일음식
생선가스,646.21125,육류
쥐포튀김,353.33,단일음식
오징어튀김,308.426,단일음식
닭강정,323.251,육류
닭튀김,909.8054,육류
돈가스,620.6445,단일음식
모래집튀김,457.345,단일음식
양념치킨,567.582,단일음식
치즈돈가스,758.496,단일음식
치킨가스,582.008,단일음식
탕수육,454.4382,국
깐풍기,585.076,단일음식
감자튀김,462.105,채소
고구마맛탕,490.9275,국
고구마튀김,241.566,단일음식
고추튀김,198.346,단일음식
김말이튀김,240.562,단일음식
채소튀김,311.99,채소
노각무침,81.354,채소
단무지무침,19.188,채소
달래나물무침,132.687,채소
더덕무침,220.8915,채소
도라지생채,165.225,단일음식
도토리묵,43.046,단일음식
마늘쫑무침,38.1177,채소
무생채,73.68,채소
무말랭이,39.8895,채소
오이생채,23.3555,채소
파무침,124.296,채소
상추겉절이,130.62,채소
쑥갓나물무침,94.857,채소
청포묵무침,157.61,채소
해파리냉채,87.285,단일음식
가지나물,21.873,채소
고사리나물,43.508,채소
도라지나물,54.675,채소
무나물,34.575,채소
미나리나물,28.3435,채소
숙주나물,19.509,채소
시금치나물,37.511,채소
취나물,72.944,채소
콩나물,24.129,채소
고구마줄기나물,30.439,채소
우거지나물무침,126.114,채소
골뱅이무침,107.348,채소
김무침,81.0114,채소
미역초무침,24.936,채소
북어채무침,332.052,채소
회무침,311.5872,채소
쥐치채,53.387,단일음식
파래무침,31.5855,채소
홍어무침,193.138,채소
골뱅이국수무침,256.4163,국
오징어무침,249.525,채소
잡채,198.8235,단일음식
탕평채,101.194,국
갓김치,27.6355,단일음식
고들빼기,55.3875,단일음식
깍두기,17.988,단일음식
깻잎김치,124.4925,단일음식
나박김치,14.746,단일음식
동치미,57.692,단일음식
배추겉절이,21.239,채소
배추김치,18.4315,채소
백김치,19.8035,단일음식
부추김치,32.9105,단일음식
열무김치,16.285,채소
열무얼갈이김치,16.57,채소
오이소박이,16.6675,채소
총각김치,17.5645,단일음식
파김치,28.005,단일음식
간장게장,292.7025,단일음식
마늘쫑장아찌,28.2695,단일음식
고추장아찌,22.356,단일음식
깻잎장아찌,33.6351,단일음식
마늘장아찌,16.0554,단일음식
무장아찌,27.3372,채소
양념게장,275.554,단일음식
양파장아찌,19.715,단일음식
오이지,11.44,채소
무피클,17.0,채소
오이피클,54.0,채소
단무지,3.9042,채소
오징어젓갈,6.826,단일음식
명란젓,12.0,단일음식
생연어,110.29,단일음식
생선물회,575.0052,육류
